codigoDistrito,provincia,canton,distrito,nombre_actual,sugerencia,correccion_final,clasificacion,evidencia
70404,Limón,Talamanca,Telire,Sitio Piedra Grae,Sitio Piedra Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
70502,Limón,Matina,Batán,Almeros,Almendros,,RECONSTRUCCION_SEGURA,ALMEROS->ALMENDROS confirmado x8 en distrito 11305
70605,Limón,Guácimo,Duacarí,San Edmuo,San Edmundo,,RECONSTRUCCION_SEGURA,EDMUO->EDMUNDO confirmado x1 en distrito 70503
11603,San José,Turrubares,San Juan de Mata,Sitio Caelillal,Sitio Candelillal,Sitio Candelillal,REQUIERE_REVISION,"CAELILLAL->CANDELILLAL solo por vocabulario INEC, sin par confirmado"
11901,San José,Pérez Zeledón,San Isidro de El General,Otro Muo,Otro Mundo,Otro Mundo,REQUIERE_REVISION,"MUO->MUNDO solo por vocabulario INEC, sin par confirmado"
20112,Alajuela,Alajuela,Tambor,Vueltas Peñaraa,Vueltas Peñaranda,Vueltas Peñaranda,REQUIERE_REVISION,"PENARAA->PENARANDA solo por vocabulario INEC, sin par confirmado"
21001,Alajuela,San Carlos,Quesada,Abuancia (Concepción),Abundancia (Concepción),Abundancia (Concepción),REQUIERE_REVISION,"ABUANCIA->ABUNDANCIA solo por vocabulario INEC, sin par confirmado"
21308,Alajuela,Upala,Canalete,Comaos,Comandos,Comandos,REQUIERE_REVISION,"COMAOS->COMANDOS solo por vocabulario INEC, sin par confirmado"
21401,Alajuela,Los Chiles,Los Chiles,San Alejaro,San Alejandro,San Alejandro,REQUIERE_REVISION,"ALEJARO->ALEJANDRO solo por vocabulario INEC, sin par confirmado"
30403,Cartago,Jiménez,Pejibaye,Hacieita,Haciendita,Haciendita,REQUIERE_REVISION,"HACIEITA->HACIENDITA solo por vocabulario INEC, sin par confirmado"
30501,Cartago,Turrialba,Turrialba,Hacieita,Haciendita,Haciendita,REQUIERE_REVISION,"HACIEITA->HACIENDITA solo por vocabulario INEC, sin par confirmado"
30801,Cartago,El Guarco,El Tejar,Fuación de El Guarco,Fundación de El Guarco,Fundación de El Guarco,REQUIERE_REVISION,"FUACION->FUNDACION solo por vocabulario INEC, sin par confirmado"
40701,Heredia,Belén,San Antonio,Sa Vicente,San Vicente,San Vicente,REQUIERE_REVISION,"perdida de ""n"" sola, no de ""nd""; unico caso en todo el catalogo. ""San"" es el token mas frecuente del corpus"
