codigoDistrito,ign_2026_original,nombre_corregido,fuenteNombre
40901,Rosalia,Rosalinda,INEC_LOCALIDADES_2024
40901,Alejara,Alejandra,INEC_LOCALIDADES_2024
40902,María Fernaa,María Fernanda,INEC_LOCALIDADES_2024
40902,Maria Fernaa,Maria Fernanda,INEC_LOCALIDADES_2024
41001,Loma Lia la Gerika,Loma Linda la Gerika,REVISION_MANUAL
41002,Llano Grae,Llano Grande,INEC_LOCALIDADES_2024
41002,Lia Vista,Linda Vista,INEC_LOCALIDADES_2024
41002,Quebrada Grae,Quebrada Grande,REVISION_MANUAL
41003,Isla Grae,Isla Grande,INEC_LOCALIDADES_2024
50101,Coega,Condega,INEC_LOCALIDADES_2024
50101,Loma Lia,Loma Linda,INEC_LOCALIDADES_2024
50101,Rancho Grae,Rancho Grande,INEC_LOCALIDADES_2024
50101,Haciea Tayacán,Hacienda Tayacán,INEC_LOCALIDADES_2024
50101,Lia Vista,Linda Vista,INEC_LOCALIDADES_2024
50101,Los Almerales,Los Almendrales,INEC_LOCALIDADES_2024
50101,Sitio Llano Grae,Sitio Llano Grande,REVISION_MANUAL
50101,Haciea Birmania,Hacienda Birmania,REVISION_MANUAL
50101,Haciea El Real,Hacienda El Real,REVISION_MANUAL
50101,Haciea Tempisque,Hacienda Tempisque,REVISION_MANUAL
50101,Haciea,Hacienda,REVISION_MANUAL
50101,Pedro Hernáez,Pedro Hernández,REVISION_MANUAL
50102,Sitio Muo Nuevo,Sitio Mundo Nuevo,REVISION_MANUAL
50102,Haciea Los Ahogados,Hacienda Los Ahogados,REVISION_MANUAL
50103,Haciea El Querpe,Hacienda El Querpe,REVISION_MANUAL
50103,Nueva Zelaa,Nueva Zelanda,REVISION_MANUAL
50104,Haciea Horizontes,Hacienda Horizontes,REVISION_MANUAL
50104,Haciea Monte Galán,Hacienda Monte Galán,REVISION_MANUAL
50104,Haciea Santo Tomas,Hacienda Santo Tomas,REVISION_MANUAL
50105,Curubaé,Curubandé,INEC_LOCALIDADES_2024
50201,Hoores,Hondores,INEC_LOCALIDADES_2024
50201,Sabana Grae,Sabana Grande,INEC_LOCALIDADES_2024
50201,Rio Grae,Rio Grande,INEC_LOCALIDADES_2024
50201,Cerro Redoo,Cerro Redondo,REVISION_MANUAL
50202,Sitio Grae,Sitio Grande,REVISION_MANUAL
50203,Camino Los Obao,Camino Los Obando,INEC_LOCALIDADES_2024
50203,Tamario,Tamarindo,REVISION_MANUAL
50204,Quebrada Hoa,Quebrada Honda,INEC_LOCALIDADES_2024
50205,San Fernao,San Fernando,INEC_LOCALIDADES_2024
50205,Bajo Escoido,Bajo Escondido,REVISION_MANUAL
50207,Cuesta Grae,Cuesta Grande,INEC_LOCALIDADES_2024
50301,Tulita Saino,Tulita Sandino,INEC_LOCALIDADES_2024
50301,Tamario,Tamarindo,INEC_LOCALIDADES_2024
50303,Paso Hoo,Paso Hondo,INEC_LOCALIDADES_2024
50305,Loma Lia,Loma Linda,INEC_LOCALIDADES_2024
50305,La Caelaria,La Candelaria,INEC_LOCALIDADES_2024
50305,La Poerosa,La Ponderosa,INEC_LOCALIDADES_2024
50306,Escoido,Escondido,INEC_LOCALIDADES_2024
50308,Playa Grae,Playa Grande,INEC_LOCALIDADES_2024
50309,Lieros,Linderos,INEC_LOCALIDADES_2024
50309,Tamario,Tamarindo,INEC_LOCALIDADES_2024
50309,San Arés,San Andrés,INEC_LOCALIDADES_2024
50309,Hernáez,Hernández,INEC_LOCALIDADES_2024
50309,Las Golorinas,Las Golondrinas,INEC_LOCALIDADES_2024
50309,Los Almeros,Los Almendros,INEC_LOCALIDADES_2024
50309,Palmas de Tamario,Palmas de Tamarindo,INEC_LOCALIDADES_2024
50309,Tamario Diria,Tamarindo Diria,INEC_LOCALIDADES_2024
50309,Villa Tamario,Villa Tamarindo,INEC_LOCALIDADES_2024
50309,El Saal,El Sandal,INEC_LOCALIDADES_2024
50309,Cristal Sas,Cristal Sands,REVISION_MANUAL
50309,Calle Refuores,Calle Refundores,REVISION_MANUAL
50309,Haciea Pinilla,Hacienda Pinilla,REVISION_MANUAL
50401,La Poza Lia,La Poza Linda,INEC_LOCALIDADES_2024
50401,Tamario,Tamarindo,INEC_LOCALIDADES_2024
50401,Sitio Chagüite Grae,Sitio Chagüite Grande,REVISION_MANUAL
50401,Haciea Mojica,Hacienda Mojica,REVISION_MANUAL
50402,Haciea Nispero,Hacienda Nispero,REVISION_MANUAL
50501,Haciea El Viejo,Hacienda El Viejo,REVISION_MANUAL
50503,Obaito,Obandito,INEC_LOCALIDADES_2024
50503,Cocomario,Cocomarindo,INEC_LOCALIDADES_2024
50503,Los Almeros de Ocotal,Los Almendros de Ocotal,INEC_LOCALIDADES_2024
50601,Paso Hoo,Paso Hondo,INEC_LOCALIDADES_2024
50602,Sitio Quebrada Hoa,Sitio Quebrada Honda,REVISION_MANUAL
50604,Paso Hoo,Paso Hondo,INEC_LOCALIDADES_2024
50702,Caelaria,Candelaria,INEC_LOCALIDADES_2024
50703,San Juan Grae,San Juan Grande,INEC_LOCALIDADES_2024
50704,Almeros,Almendros,REVISION_MANUAL
50802,Quebrada Grae,Quebrada Grande,INEC_LOCALIDADES_2024
50905,Quebrada Grae,Quebrada Grande,INEC_LOCALIDADES_2024
50906,Quebrada Nao,Quebrada Nando,INEC_LOCALIDADES_2024
50906,Caelillo,Candelillo,REVISION_MANUAL
51002,Argeora,Argendora,INEC_LOCALIDADES_2024
51003,Aes,Andes,REVISION_MANUAL
51003,San Fernao,San Fernando,REVISION_MANUAL
51004,Sitio El Escoido,Sitio El Escondido,REVISION_MANUAL
51004,Sitio Potrero Grae,Sitio Potrero Grande,REVISION_MANUAL
51104,Preas,Prendas,REVISION_MANUAL
60104,Montaña Grae,Montaña Grande,INEC_LOCALIDADES_2024
60104,Cerro Iio,Cerro Indio,REVISION_MANUAL
60105,San Fernao,San Fernando,INEC_LOCALIDADES_2024
60105,Río Grae,Río Grande,INEC_LOCALIDADES_2024
60107,Alto Méez,Alto Méndez,REVISION_MANUAL
60107,Altos Fernáez,Altos Fernández,REVISION_MANUAL
60108,Riojalaia,Riojalandia,INEC_LOCALIDADES_2024
60108,Riojalaia 2,Riojalandia 2,REVISION_MANUAL
60108,Almeros,Almendros,REVISION_MANUAL
60111,Bajos de Fernáez,Bajos de Fernández,REVISION_MANUAL
60112,Pueblo Redoo,Pueblo Redondo,INEC_LOCALIDADES_2024
60114,Quebrada Hoa,Quebrada Honda,INEC_LOCALIDADES_2024
60114,Pueblo Redoo,Pueblo Redondo,INEC_LOCALIDADES_2024
60114,Rancho Grae,Rancho Grande,REVISION_MANUAL
